Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Deaths,Death Description,Damage ($Mil),Damage Description,Houses Destroyed Description
1854.0,9.0,27.0,3.0,1.0,7.2,INDONESIA,,83.0,N. MOLUCCAS ISLANDS,0.8,127.4,0.92,1.0,0.6,,,,,
1854.0,10.0,4.0,3.0,0.0,7.2,USA,CA,88.0,N. CALIFORNIA,,,0.03,1.0,0.6,,,,,
1854.0,12.0,23.0,4.0,1.0,8.3,JAPAN,,85.0,ENSHUNADA SEA,34.0,137.9,21.0,72.0,4.0,300.0,3.0,,4.0,4.0
1854.0,12.0,24.0,4.0,1.0,8.4,JAPAN,,85.0,NANKAIDO,33.1,135.0,28.0,81.0,4.0,3000.0,4.0,,4.0,4.0
1855.0,1.0,23.0,3.0,1.0,8.0,NEW ZEALAND,,81.0,NORTHERN ISLAND,-41.25,175.0,11.0,29.0,3.2,,,,,
1855.0,2.0,3.0,4.0,1.0,7.2,NEW ZEALAND,,81.0,WHARANUI,-41.93,174.09,0.92,1.0,0.6,,,,,
1855.0,4.0,14.0,3.0,0.0,7.2,INDONESIA,,60.0,FLORES ISLAND,-9.0,121.0,0.92,1.0,0.6,,,,1.0,
1855.0,7.0,11.0,3.0,3.0,6.0,USA,CA,88.0,S. CALIFORNIA,34.1,-118.1,0.92,1.0,0.6,,,,,
1855.0,11.0,7.0,4.0,1.0,7.0,JAPAN,,85.0,ENSHUNADA,34.5,137.6,3.0,6.0,1.0,,,,,
1855.0,11.0,11.0,4.0,1.0,7.0,JAPAN,,85.0,TOKAIDO,35.65,139.8,0.92,2.0,0.6,,,,,
1856.0,2.0,15.0,3.0,3.0,5.5,USA,CA,88.0,N. CALIFORNIA,37.5,-122.3,0.6,1.0,0.6,,,,,
1856.0,3.0,2.0,4.0,6.0,7.2,INDONESIA,,83.0,SANGIHE ISLAND,3.67,125.5,0.92,2.0,1.0,,1.0,,,
1856.0,3.0,1.0,3.0,0.0,7.2,NEW ZEALAND,,81.0,"S CANTERBURY PROVINCE, SOUTH ISLAND",-44.0,172.0,1.0,2.0,0.6,,,,,
1856.0,8.0,4.0,4.0,3.0,7.5,HONDURAS,,74.0,BAY OF HONDURAS,16.0,-88.0,5.0,5.0,0.6,,,,2.0,
1856.0,8.0,21.0,3.0,1.0,7.2,ALGERIA,,50.0,SEA OF ALBORAN,37.1,5.7,3.75,5.0,0.6,,,,1.0,
1856.0,8.0,22.0,3.0,1.0,7.2,ALGERIA,,50.0,SEA OF ALBORAN,37.1,5.7,5.0,4.0,0.6,,,,1.0,
1856.0,8.0,23.0,4.0,1.0,8.0,JAPAN,,85.0,SE. HOKKAIDO ISLAND,40.5,143.5,6.0,33.0,2.6,26.0,1.0,,2.0,3.0
1856.0,11.0,13.0,3.0,1.0,6.6,GREECE,,50.0,"CHIOS ISLAND, AEGEAN ISLANDS",38.5,26.25,0.92,1.0,0.6,,2.0,,,
1857.0,4.0,17.0,4.0,3.0,8.0,PAPUA NEW GUINEA,,82.0,BISMARCK SEA,-5.5,147.0,0.92,5.0,0.6,,2.0,,2.0,2.0
1857.0,5.0,13.0,4.0,1.0,7.0,INDONESIA,,60.0,BALI SEA,-8.0,115.5,3.4,4.0,1.6,,,,,
1857.0,7.0,13.0,4.0,1.0,6.4,JAPAN,,85.0,TOKAIDO,34.8,138.3,0.92,1.0,0.6,,,,1.0,
1857.0,11.0,17.0,3.0,1.0,7.2,INDONESIA,,83.0,"KEMA, SULAWESI I, N. MOLUCCAS IS",1.35,125.2,0.92,2.0,0.6,,,,2.0,3.0
1859.0,6.0,28.0,4.0,1.0,7.0,INDONESIA,,83.0,N. MOLUCCAS ISLANDS,1.0,126.5,10.0,4.0,3.2,,,,,
1859.0,7.0,20.0,3.0,1.0,7.2,INDONESIA,,83.0,"LONTOR ISLAND, BANDA SEA",-4.6,129.9,0.92,1.0,0.6,,,,,
1859.0,7.0,29.0,4.0,1.0,7.3,INDONESIA,,83.0,N. MOLUCCAS ISLANDS,0.009,125.5,1.0,5.0,1.0,,,,2.0,2.0
1859.0,8.0,25.0,3.0,1.0,6.2,EL SALVADOR,,88.0,EL SALVADOR,13.33,-87.81,0.92,1.0,1.0,,,,1.0,
1859.0,10.0,5.0,4.0,1.0,7.6,CHILE,,89.0,NORTHERN CHILE,-27.35,-70.35,6.0,1.0,2.5,,,,1.0,
